"Obs","TOTEMP","GNPDEFL","GNP","UNEMP","ARMED","POP","YEAR"
1,60323,83,234289,2356,1590,107608,1947
2,61122,88.5,259426,2325,1456,108632,1948
3,60171,88.2,258054,3682,1616,109773,1949
4,61187,89.5,284599,3351,1650,110929,1950
5,63221,96.2,328975,2099,3099,112075,1951
6,63639,98.1,346999,1932,3594,113270,1952
7,64989,99,365385,1870,3547,115094,1953
8,63761,100,363112,3578,3350,116219,1954
9,66019,101.2,397469,2904,3048,117388,1955
10,67857,104.6,419180,2822,2857,118734,1956
11,68169,108.4,442769,2936,2798,120445,1957
12,66513,110.8,444546,4681,2637,121950,1958
13,68655,112.6,482704,3813,2552,123366,1959
14,69564,114.2,502601,3931,2514,125368,1960
15,69331,115.7,518173,4806,2572,127852,1961
16,70551,116.9,554894,4007,2827,130081,1962
