duration,iprod
7, .01138
9, .01138
13, .01138
14, .01138
26, .01138
29, .01138
52, .01138
130, .01138
9, .02299
37, .02299
41, .02299
49, .02299
52, .02299
119, .02299
3, -.03957
17, -.03957
19, -.03957
28, -.03957
72, -.03957
99, -.03957
104, -.03957
114, -.03957
152, -.03957
153, -.03957
216, -.03957
15, -.05467
61, -.05467
98, -.05467
2, .00535
25, .00535
85, .00535
3, .07427
10, .07427
1, .06450
2, .06450 
2, .06450
3, .06450
3, .06450
4, .06450
8,  .06450
11, .06450
22, .06450
23, .06450
27, .06450
32, .06450
33, .06450
35, .06450
43, .06450
43, .06450
44, .06450
100, .06450
5, -.10443
49, -.10443
2, -.00700
12, -.00700
12, -.00700
21, -.00700
21, -.00700
27, -.00700
38, -.00700
42, -.00700
117, -.00700
