Name,Short,Korean Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active
100%,,백퍼센트,2012-09-18,TOP Media,4,7,Perfection,Yes
14U,,원포유,2017-04-17,BG,14,14,,Yes
1the9,,원더나인,2019-02-09,MBK,9,9,,Yes
24K,,투포케이,2012-09-06,Choeun,8,6,24U,Yes
2AM,,투에이엠,2008-06-21,"JYP, Big Hit",4,4,I Am,No
2PM,,투피엠,2008-07-04,JYP,6,7,Hottest,Yes
8Eight,,에이트,2007-09-06,Big Hit,3,3,Sweet Voice,No
A-JAX,,에이젝스,2012-06-01,DSP,5,7,A-LIGHT,No
A.C.E,ACE,에이스,2017-05-23,Beat,5,5,Choice,Yes
A.cian,,에이션,2012-10-10,Wings,4,5,,No
A6P,,에이식스피,2015-05-20,DS,6,6,,No
AB6IX,,에이비식스,2019-05-22,Brand New,5,5,ABNEW,Yes
AlphaBat,,알파벳,2013-11-14,Simtong,5,9,,Yes
ASTRO,,아스트로,2016-02-23,Fantagio,6,6,AROHA,Yes
ATEEZ,,에이티즈,2018-10-24,KQ,8,8,,Yes
B.A.P,BAP,비에이피,2012-01-27,TS,6,6,BABY,No
B.Heart,,비하트,2017-01-25,Poong,4,4,,Yes
B.I.G,,비아이지,2014-07-09,GH,5,5,,Yes
B1A4,,비원에이포,2010-04-19,WM,5,5,BANA,Yes
Be.A,,비에이,2017-05-25,Chrome,3,5,,Yes
Beatwin,,비트윈,2014-01-06,Elen,2,6,,Hiatus
BIGBANG,,빅뱅,2006-08-19,YG,4,5,VIP,Yes
Bigflo,,빅플로,2014-07-19,HO,5,5,,Yes
BIGSTAR,,빅스타,2012-07-12,Brave,5,5,,No
BLACK6IX,,블랙식스,2017-04-07,BLACK HOLE,6,6,,Yes
Blanc7,,블랑세븐,2017-03-03,Jackpot,7,7,Prism,No
BLK,,비엘케이,2017-11-28,Byking,7,7,,No
Block B,,블락비,2011-04-13,KQ,7,7,BBC,Yes
Boyfriend,,보이프렌드,2011-05-26,Starship,6,6,Bestfriend,No
Boys Republic,,소년공화국,2013-06-03,"Happy Tribe, Universal",5,5,Royal Family,Hiatus
BtoB,,비투비,2012-03-21,Cube,7,7,Melody,Yes
BTS,Bangtan Boys,방탄소년단,2013-06-13,Big Hit,7,7,ARMY,Yes
C-Clown,,씨클라운,2012-06-19,Yedang,6,6,Crown,No
CICI,,씨씨,2019-06-27,UPVOTE,4,4,,Yes
CIX,,씨아이엑스,2019-07-23,C9,5,5,,Yes
CNBLUE,,씨엔블루,2010-01-14,FNC,4,4,Boice,Yes
CRAVITY,,크래비티,2020-04-04,Starship,9,9,,Yes
CROSS GENE,,크로스진,2012-07-08,Amuse,5,6,Chromosome,Yes
D-Crunch,,디크런치,2018-08-06,All-S,9,9,,Yes
Dalmatian,DMTN,달마시안,2010-09-01,Monkey Funch,7,7,Dalmate,No
DAY6,,데이식스,2015-09-07,JYP,5,6,,Yes
DKB,Darkbee,다크비,2020-02-03,Brave,9,9,,Yes
ENOi,,이엔오아이,2019-04-19,KITHEWHALE,7,7,,Yes
EXO,,엑소,2012-04-08,SM,9,12,EXO-L,Yes
Fly to the Sky,,플라이 투 더 스카이,1999-11-21,"SM, H2",2,2,Fly High,Yes
FTISLAND,,에프티 아일랜드,2007-06-07,FNC,4,5,Primadonna,Yes
g.o.d.,,지오디,1999-01-26,"JYP, SidusHQ",5,5,Fan God,Yes
Golden Child,,골든 차일드,2017-08-28,Woollim,10,11,,Yes
GOT7,,갓세븐,2014-01-16,JYP,7,7,I GOT7,Yes
GreatGuys,,멋진녀석들,2017-08-25,DNA,9,9,Grace,Yes
H.B.Y,Hot Blood Youth,열혈남아,2017-08-16,Rainbow,5,5,,Yes
H.O.T,,에이치오티,1996-09-07,SM,5,5,Club H.O.T,No
HALO,,헤일로,2014-07-26,Histar,6,6,,Yes
HIGH4,,하이포,2014-04-08,NAP,4,4,,No
Highlight,Beast,하이라이트,2009-10-14,Around Us,4,6,B2uty,Yes
HISTORY,,히스토리,2013-04-26,LOEN,5,5,Storia,No
Homme,,옴므,2010-06-28,Big Hit,2,2,,Yes
Honeyst,,허니스트,2017-05-17,FNC,4,4,,Yes
Hotshot,,핫샷,2014-10-29,Star Crew,5,6,,Yes
iKON,,아이콘,2015-09-15,YG,6,7,iKONIC,Yes
Imfact,,임팩트,2016-01-27,Star Empire,5,5,,Yes
IN2IT,,인투잇,2017-10-26,MMO,7,8,,Yes
Infinite,,인피니트,2010-06-09,Woollim,6,7,Inspirit,Yes
INX,,인엑스,2016-08-02,NA,5,5,,No
IZ,,아이즈,2017-08-31,Music K,4,4,,Yes
JBJ,,제이비제이,2017-10-18,Fave,6,6,,No
JBJ95,,제이비제이95,2018-10-30,Hunus,2,2,,Yes
JJCC,,제이제이씨씨,2014-03-13,Jackie Chan Group,5,6,,Yes
JYJ,,제이와이제이,2010-09-08,C-JeS,3,3,Cassiopeia,Yes
K-Much,,케이머치,2014-01-07,Chrome,4,5,,No
KNK,,크나큰,2016-03-03,YNB,5,5,Tinker Bell,Yes
Limitless,,리미트리스,2019-07-09,ONO,4,4,,Yes
LU:KUS,,루커스,2014-07-04,JWK,4,5,,Yes
Lucente,,루첸트,2018-09-18,NOGA,7,7,,Yes
M.I.B,,엠아이비,2011-10-26,Jungle,4,4,,No
M.O.N.T,MONT,몬트,2019-01-04,FM,3,3,,Yes
Madtown,,매드타운,2014-10-06,GNI,7,7,,No
MAP6,,맵식스,2015-11-10,DreamT,5,5,,Yes
Masc,,마스크,2016-08-19,JJ Holic,4,8,,Yes
MBLAQ,,엠블랙,2009-10-14,J. Tune,3,5,A+,Yes
Mfect,M.fect,엠펙트,2015-04-27,Midas,5,5,,Yes
MONSTA X,,몬스타엑스,2014-05-14,Starship,6,7,Monbebe,Yes
MR.MR,,미스터미스터,2012-10-04,WinningIn,6,5,,Yes
MustB,,머스트비,2019-01-21,MustM,7,7,,Yes
MVP,,엠브이피,2017-03-13,PH,7,7,,Yes
MXM,,엠엑스엠,2017-09-06,Brand New,2,2,,Yes
MYNAME,,마이네임,2011-10-27,H2,5,5,MYgirl,Yes
Myteen,,마이틴,2017-07-26,The Music Works,6,7,,Yes
N-Sonic,,엔소닉,2011-10-05,C2K,6,5,,No
N-Train,,엔트레인,2011-05-27,MediaLine,5,5,,No
N.Flying,,엔플라잉,2015-05-20,FNC,4,4,N.Fia,Yes
NCT,,엔시티,2016-04-09,SM,18,18,NCTzen,Yes
Newkidd,,뉴키드,2019-04-25,J-FLO,7,7,,Yes
Noir,,느와르,2018-04-09,LUK,9,9,,Yes
NTB,,엔티비,2018-05-28,High Choice,6,6,,Yes
NU'EST,,뉴이스트,2012-03-15,Pledis,5,5,LOΛΕ,Yes
Oneus,,원어스,2019-01-09,RBW,6,6,,Yes
ONF,,온앤오프,2017-08-02,WM,6,7,,Yes
PENTAGON,PTG,펜타곤,2016-10-10,Cube,9,10,,Yes
Phantom,,팬텀,2011-11-25,"Brand New, RBW",3,3,,No
RAINZ,,레인즈,2017-10-12,(Genie),7,7,Rainzer,No
Road Boyz,,로드 보이즈,2015-11-17,Coconut,5,5,,No
ROMEO,,로미오,2015-11-04,CT,7,7,,Yes
SECHKIES,6KIES,젝스키스,1997-04-15,"DSP, YG",5,6,Yellowkies,Yes
Seven O'Clock,SOC,세븐어클락,2017-03-16,"Staro, KDH",5,6,,Yes
Seventeen,SVT,세븐틴,2015-05-26,Pledis,13,13,Carat,Yes
SF9,,에스에프나인,2016-10-05,FNC,9,9,Fantasy,Yes
SG Wannabe,,SG 워너비,2004-01-20,B2M,3,4,,Yes
SHINee,,샤이니,2008-05-22,SM,4,5,Shawol,Yes
Shinhwa,,신화,1998-03-24,"SM, Good, Shinhwa",6,6,Shinhwa Changjo,Yes
Signal,,시그널,2019-08-28,J-Star,4,4,,Yes
Snuper,,스누퍼,2015-11-16,Widmay,6,6,Swing,Yes
Spectrum,,스펙트럼,2018-05-09,WYNN,6,7,,Yes
Speed,,스피드,2013-01-15,MBK,7,7,,No
SS501,,더블에스오공일,2005-06-08,"DSP, CI",5,5,Triple S,No
Stray Kids,SKZ,스트레이 키즈,2018-03-26,JYP,9,9,,Yes
Super Junior,SJ,슈퍼주니어,2005-11-06,SM,11,12,ELF,Yes
Supernova,,초신성,2007-09-21,CJ E&M,5,6,,Yes
Target,,타겟,2018-01-23,TNS,7,7,,Yes
Teen Top,,틴탑,2010-07-09,TOP Media,5,6,Angel,Yes
The Boyz,,더보이즈,2017-12-31,Cre.Ker,12,12,,Yes
The Eastlight,,더 이스트라이트,2016-11-03,MediaLine,6,6,,No
The Legend,,전설,2014-07-09,SS,5,5,,No
THE MAN BLK,,더 맨 블랙,2018-11-15,Stardium,10,10,,Yes
ToppDogg,,탑독,2013-10-22,"Stardom, Hunus",5,13,ToppKlass,No
TRAX,,트랙스,2004-07-20,SM,2,4,,No
TRCNG,,티알씨엔지,2017-10-10,TS,10,10,,Yes
TST,Top Secret,일급비밀,2017-01-04,JSL,7,7,,Yes
Turbo,,터보,1995-09-06,"MBK, Turbo Co.",3,2,,Hiatus
TVXQ!,TVXQ,동방신기,2003-12-26,SM,2,5,Cassiopeia,Yes
TXT,,투모로우바이투게더,2019-03-04,Big Hit,5,5,,Yes
U-KISS,,유키스,2008-08-28,NH Media,6,6,Kissme,Yes
UNB,,유앤비,2018-04-07,Unit Culture,9,9,,No
UNIQ,,유니크,2014-10-20,Yuehua,5,5,Unicorn,Yes
UP10TION,,업텐션,2015-09-11,TOP Media,10,10,HONEY10,Yes
Varsity,,바시티,2017-01-05,GKC,12,12,,Yes
VAV,,브이에이브이,2015-10-31,A team,7,6,,Yes
Verivery,VRVR,베리베리,2019-09-01,Jellyfish,7,7,,Yes
VERMUDA,,버뮤다,2017-07-13,JJJ,5,5,,Yes
VICTON,,빅톤,2016-11-09,Plan A,7,7,Alice,Yes
