Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Birthplace,Other Group,Gender
A.M,Seong Hyunwoo,성현우,에이엠,1996-12-31,Limitless,South Korea,,,M
Ace,Jang Wooyoung,장우영,에이스,1992-08-28,VAV,South Korea,,,M
Aeji,Kwon Aeji,권애지,애지,1999-10-25,Hashtag,South Korea,Daegu,,F
AhIn,Lee Ahin,이아인,아인,1999-09-27,MOMOLAND,South Korea,Wonju,,F
Ahra,Go Ahra,고아라,아라,2001-02-21,Favorite,South Korea,Yeosu,,F
Ahyoung,Cho Jayoung,조자영,아영,1991-05-26,Dal Shabet,South Korea,Seoul,,F
Ahyung,Kang Ahyoung,강아형,아형,1996-08-27,P.O.P,South Korea,Pohang,,F
Ailee,Lee Yejin,이예진,에일리,1989-05-30,,South Korea,Denver,,F
Aini,Kim Heejung,김희정,아이니,1991-07-13,Pink Fantasy,South Korea,,,F
Aisha,Heo Yoorim,허유림,아샤,2000-07-21,Everglow,South Korea,,,F
AleXa,Kim Seri,김세리,알렉사,1996-12-06,,USA,,,F
Alice,Song Joohee,송주희,앨리스,1990-03-21,Hello Venus,South Korea,Wonju,,F
Allen,Allen Ma,앨런 마,앨런,1999-04-26,CRAVITY,USA,,,M
Amber,Amber Josephine Liu,엠버 조세핀 리우,엠버,1992-09-18,f(x),USA,Los Angeles,,F
Anne,Lee Seoyoung,이서영,앤,2000-10-17,GWSN,South Korea,,,F
Anthony,Anthony Lo,엔써니 루오,엔써니,1998-03-12,VARSITY,China,,,M
Arang,Son Mnjung,손민정,아랑,2000-03-08,,South Korea,,,F
Arang,Park Yerim,박예림,아랑,2001-01-22,Pink Fantasy,South Korea,,,F
Ari,Kim Sunyoung,김선영,아리,1994-10-23,Tahiti,South Korea,Daegu,,F
Ari,Hwang Nayoon,황나윤,아리,1999-03-30,RedSquare,South Korea,Seoul,,F
Arie,Jeon Minjae,전민재,아리,2000-04-07,MIXX,South Korea,,,F
Arin,Choi Yewon,최예원,아린,1999-06-18,Oh My Girl,South Korea,Busan,,F
Aron,Kwak Youngmin,곽영민,아론,1993-05-21,NU'EST,South Korea,California,NU'EST W,M
Asahi,Hanada Asahi,하나다 아사히,아사히,2001-08-20,Treasure,Japan,,,M
Ashley,Ashley Choi,애슐리 최,애슐리,1991-11-09,Ladies' Code,South Korea,Incheon,,F
Aurora,Yang Lan,양안,오로라,1997-01-14,NATURE,China,,,F
Avin,Park Donghyun,박동혁,어빈,1999-12-18,ENOi,South Korea,,,M
