individual;mode;choice;ttme;invc;invt;gc;hinc;psize
1;1;0;69;59;100;70;35;1
1;2;0;34;31;372;71;35;1
1;3;0;35;25;417;70;35;1
1;4;1;0;10;180;30;35;1
2;1;0;64;58;68;68;30;2
2;2;0;44;31;354;84;30;2
2;3;0;53;25;399;85;30;2
2;4;1;0;11;255;50;30;2
3;1;0;69;115;125;129;40;1
3;2;0;34;98;892;195;40;1
3;3;0;35;53;882;149;40;1
3;4;1;0;23;720;101;40;1
4;1;0;64;49;68;59;70;3
4;2;0;44;26;354;79;70;3
4;3;0;53;21;399;81;70;3
4;4;1;0;5;180;32;70;3
5;1;0;64;60;144;82;45;2
5;2;0;44;32;404;93;45;2
5;3;0;53;26;449;94;45;2
5;4;1;0;8;600;99;45;2
6;1;0;69;59;100;70;20;1
6;2;1;40;20;345;57;20;1
6;3;0;35;13;417;58;20;1
6;4;0;0;12;284;43;20;1
7;1;1;45;148;115;160;45;1
7;2;0;34;111;945;213;45;1
7;3;0;35;66;935;167;45;1
7;4;0;0;36;821;125;45;1
8;1;0;69;121;152;137;12;1
8;2;0;34;52;889;149;12;1
8;3;0;35;50;879;146;12;1
8;4;1;0;50;780;135;12;1
9;1;0;69;59;100;70;40;1
9;2;0;34;31;372;71;40;1
9;3;0;35;25;417;70;40;1
9;4;1;0;17;210;40;40;1
10;1;0;69;58;68;65;70;2
10;2;0;34;31;357;69;70;2
10;3;0;35;25;402;68;70;2
10;4;1;0;7;210;30;70;2
11;1;0;64;58;68;68;15;2
11;2;0;44;16;357;70;15;2
11;3;0;53;13;402;73;15;2
11;4;1;0;4;210;36;15;2
12;1;0;64;62;108;79;35;2
12;2;0;44;34;370;90;35;2
12;3;0;53;28;415;91;35;2
12;4;1;0;6;250;44;35;2
13;1;0;64;45;114;63;50;4
13;2;0;44;24;378;81;50;4
13;3;0;53;19;423;83;50;4
13;4;1;0;5;240;41;50;4
14;1;0;64;58;94;72;40;1
14;2;0;44;31;360;85;40;1
14;3;0;53;25;405;86;40;1
14;4;1;0;15;285;58;40;1
15;1;0;64;83;169;109;26;4
15;2;0;44;70;948;214;26;4
15;3;0;53;47;938;189;26;4
15;4;1;0;17;1200;199;26;4
16;1;0;69;60;127;73;26;1
16;2;1;20;19;325;55;26;1
16;3;0;35;25;435;72;26;1
16;4;0;0;14;350;52;26;1
17;1;0;69;61;74;69;26;1
17;2;1;15;38;255;66;26;1
17;3;0;35;26;389;68;26;1
17;4;0;0;13;315;47;26;1
18;1;0;69;67;86;76;6;1
18;2;1;20;21;300;54;6;1
18;3;0;35;19;399;63;6;1
18;4;0;0;17;327;53;6;1
19;1;0;69;59;148;75;20;1
19;2;1;45;18;305;51;20;1
19;3;0;35;14;456;63;20;1
19;4;0;0;16;427;62;20;1
20;1;0;64;58;93;72;72;2
20;2;1;10;28;305;75;72;2
20;3;0;53;25;346;78;72;2
20;4;0;0;9;316;57;72;2
21;1;0;69;61;73;69;6;1
21;2;1;20;21;305;54;6;1
21;3;0;35;15;395;58;6;1
21;4;0;0;13;314;47;6;1
22;1;0;64;62;235;98;10;2
22;2;1;45;45;465;116;10;2
22;3;0;53;17;623;111;10;2
22;4;0;0;13;559;98;10;2
23;1;1;90;142;105;153;50;1
23;2;0;34;71;596;136;50;1
23;3;0;35;32;590;96;50;1
23;4;0;0;33;577;96;50;1
24;1;1;50;120;110;132;50;1
24;2;0;34;70;596;135;50;1
24;3;0;35;31;590;95;50;1
24;4;0;0;33;577;96;50;1
25;1;1;15;85;65;92;18;2
25;2;0;34;15;361;55;18;2
25;3;0;35;12;406;56;18;2
25;4;0;0;9;296;41;18;2
26;1;1;30;85;140;106;60;1
26;2;0;44;90;928;231;60;1
26;3;0;53;45;918;185;60;1
26;4;0;0;86;902;223;60;1
27;1;1;80;75;110;87;45;1
27;2;0;34;70;638;140;45;1
27;3;0;35;31;632;100;45;1
27;4;0;0;39;581;102;45;1
28;1;1;45;85;140;106;18;2
28;2;0;44;39;664;139;18;2
28;3;0;53;35;658;135;18;2
28;4;0;0;19;592;109;18;2
29;1;0;64;74;179;101;8;2
29;2;1;60;43;320;91;8;2
29;3;0;53;21;345;74;8;2
29;4;0;0;9;321;58;8;2
30;1;0;69;59;100;70;6;1
30;2;1;2;11;285;42;6;1
30;3;0;35;13;417;58;6;1
30;4;0;0;13;284;44;6;1
31;1;0;69;59;101;70;20;1
31;2;1;5;17;300;50;20;1
31;3;0;35;25;420;70;20;1
31;4;0;0;13;297;45;20;1
32;1;0;69;64;90;73;45;1
32;2;1;15;32;325;67;45;1
32;3;0;35;29;405;73;45;1
32;4;0;0;18;327;54;45;1
33;1;0;64;59;73;70;70;2
33;2;1;45;29;290;73;70;2
33;3;0;53;26;395;86;70;2
33;4;0;0;9;314;57;70;2
34;1;0;69;62;66;70;4;1
34;2;1;10;31;295;63;4;1
34;3;0;35;19;397;62;4;1
34;4;0;0;17;307;50;4;1
35;1;0;69;60;132;75;40;1
35;2;1;15;15;330;50;40;1
35;3;0;35;26;373;67;40;1
35;4;0;0;12;309;46;40;1
36;1;0;69;60;117;73;35;1
36;2;1;10;23;325;58;35;1
36;3;0;35;25;425;71;35;1
36;4;0;0;17;307;50;35;1
37;1;0;64;62;184;90;40;2
37;2;1;45;24;360;79;40;2
37;3;0;53;28;464;98;40;2
37;4;0;0;11;427;76;40;2
38;1;0;64;50;67;60;4;3
38;2;1;30;31;265;71;4;3
38;3;0;53;14;393;73;4;3
38;4;0;0;6;308;53;4;3
39;1;0;64;48;154;71;15;4
39;2;1;55;25;360;80;15;4
39;3;0;53;14;462;84;15;4
39;4;0;0;4;351;57;15;4
40;1;1;30;147;100;158;26;1
40;2;0;34;96;678;169;26;1
40;3;0;35;57;672;130;26;1
40;4;0;0;28;629;96;26;1
41;1;1;75;125;110;137;26;1
41;2;0;34;70;596;135;26;1
41;3;0;35;31;590;95;26;1
41;4;0;0;24;577;87;26;1
42;1;1;40;152;95;162;70;1
42;2;0;34;73;600;138;70;1
42;3;0;35;34;594;98;70;1
