"rate_marriage","age","yrs_married","children","religious","educ","occupation","occupation_husb","affairs"
3,32,9,3,3,17,2,5,0.1111111
3,27,13,3,1,14,3,4,3.2307692
4,22,2.5,0,1,16,3,5,1.3999996
4,37,16.5,4,3,16,5,5,0.7272727
5,27,9,1,1,14,3,4,4.666666
4,27,9,0,2,14,3,4,4.666666
5,37,23,5.5,2,12,5,4,0.8521735
5,37,23,5.5,2,12,2,3,1.826086
3,22,2.5,0,2,12,3,3,4.7999992
3,27,6,0,1,16,3,5,1.333333
2,27,6,2,1,16,3,5,3.2666645
5,27,6,2,3,14,3,5,2.041666
3,37,16.5,5.5,1,12,2,3,0.4848484
5,27,6,0,2,14,3,2,2
4,22,6,1,1,14,4,4,3.2666645
4,37,9,2,2,14,3,6,1.3611107
4,27,6,1,1,12,3,5,2
1,37,23,5.5,4,14,5,2,1.826086
2,42,23,2,2,20,4,4,1.826086
4,37,6,0,2,16,5,4,2.041666
5,22,2.5,0,2,14,3,4,7.8399963
3,37,16.5,5.5,2,9,3,2,2.545454
3,42,23,5.5,3,12,5,4,0.5326087
2,27,9,2,4,20,3,4,0.6222222
4,27,6,1,2,12,5,4,0.5833333
5,27,2.5,0,3,16,4,1,4.7999992
2,27,6,2,2,12,2,5,0.1666666
5,37,13,1,3,12,3,4,0.6153846
2,32,16.5,2,2,12,4,2,1.1878777
3,27,6,1,1,14,3,6,11.1999989
3,32,16.5,4,3,14,5,5,1.1878777
3,27,9,2,1,14,3,4,2.1777763
3,37,16.5,3,3,14,3,2,0.4848484
4,32,16.5,5.5,4,12,2,4,0.7272727
5,42,16.5,4,3,16,4,6,0.7272727
3,27,9,2,2,12,5,2,1.333333
3,17.5,0.5,0,1,12,3,2,7
4,42,23,5.5,2,20,3,2,0.5217391
5,37,16.5,3,3,12,3,5,0.2121212
4,22,2.5,1,2,14,3,5,0.4
4,27,2.5,0,2,16,4,1,1.3999996
4,22,2.5,0,2,14,3,6,3.1999998
4,37,13,3,2,16,4,5,1.5076914
4,22,2.5,0,2,16,3,4,7.8399963
4,22,2.5,0,1,14,1,2,7.8399963
5,22,2.5,0,3,12,3,2,0.4
5,22,2.5,0,3,16,4,5,4.8999996
3,42,23,4,3,16,5,5,0.0434783
5,32,13,3,3,14,4,4,0.0769231
5,22,6,2,2,14,3,4,0.5833333
3,27,2.5,1,4,17,4,6,4.7999992
2,42,23,3,3,14,3,5,0.8521735
4,22,2.5,0,1,17,6,6,4.7999992
2,42,23,3,3,14,3,5,2.9217386
4,42,23,2,2,14,4,4,0.5217391
4,42,23,3,3,12,5,4,0.5326087
4,37,16.5,2,3,14,3,4,0.4848484
4,27,2.5,0,2,20,4,5,7.8399963
2,32,9,2,2,12,2,2,1.333333
4,42,13,0,1,14,3,4,1.5076914
4,22,6,2,1,12,3,4,1.333333
5,32,16.5,3,3,14,2,4,1.1878777
4,42,13,0,2,12,3,2,1.5076914
5,27,9,1,3,14,5,5,1.333333
5,22,6,2,2,12,2,5,7
2,27,16.5,2,3,16,4,5,0.7272727
5,37,13,2,1,12,3,4,1.5076914
5,27,6,0,2,14,3,4,2.041666
2,27,2.5,1,1,12,2,3,26.8799896
5,42,23,5.5,4,20,5,4,0.5326087
5,27,6,0,2,16,5,2,2
5,37,16.5,3,2,14,3,5,0.2121212
2,32,9,2,2,16,3,5,1.333333
3,37,16.5,5.5,3,12,5,5,2.545454
5,27,6,2,2,12,3,4,0.1666666
5,32,16.5,3,1,12,4,4,0.4848484
5,27,9,2,1,14,5,1,1.333333
4,22,2.5,0,2,16,5,5,0.4
5,32,16.5,2,4,14,5,2,0.4848484
2,22,6,2,2,14,2,5,0.1666666
3,32,13,3,1,12,4,5,1.5076914
5,32,16.5,3,2,12,3,4,0.0606061
3,27,6,2,1,14,3,6,2.041666
5,22,2.5,0,1,20,4,4,0.4
3,32,9,2,3,14,3,5,0.8888888
3,22,2.5,1,2,14,3,2,4.7999992
3,22,2.5,0,2,16,3,4,4.7999992
5,27,9,2,1,16,4,6,1.333333
3,42,23,2,2,12,2,2,0.1521739
3,37,16.5,3,2,17,3,2,1.1878777
5,32,13,2,2,12,2,6,0.9423077
1,27,13,2,2,12,4,4,1.5076914
5,27,2.5,0,2,14,3,2,0.4
5,27,9,0,1,14,4,4,0.1111111
5,32,13,2,2,16,3,3,0.9423077
4,27,9,2,2,14,3,5,0.3888888
3,22,2.5,1,3,14,5,4,4.8999996
2,37,23,2,2,12,5,5,0.5326087
2,27,6,2,1,14,3,5,2.041666
4,27,2.5,1,2,12,5,2,4.8999996
3,37,13,5.5,2,12,5,5,5.1692305
5,37,16.5,4,1,12,3,6,1.696969
5,22,2.5,0,1,14,3,5,1.3999996
4,42,13,0,1,14,5,5,0.0769231
5,27,9,1,1,14,5,5,2.1777763
4,22,2.5,0,1,14,3,4,1.3999996
4,22,2.5,1,2,14,5,4,7.8399963
4,27,6,2,3,16,4,6,0.5833333
2,32,16.5,1,2,14,3,5,2.7151508
3,27,13,2,1,14,3,4,0.9423077
4,22,0.5,0,2,12,3,2,7
5,27,6,1,1,16,4,3,3.2666645
2,27,9,2,2,14,3,5,4.666666
3,27,9,2,2,12,3,4,2.1777763
4,32,16.5,3,3,12,2,3,0.4848484
5,22,2.5,0,1,12,3,3,1.3999996
4,22,2.5,1,2,14,4,4,3.1999998
1,22,2.5,0,2,9,2,4,11.1999998
3,32,13,2,1,20,6,6,1.5076914
5,32,9,1,2,14,3,5,1.333333
5,27,2.5,0,1,20,6,4,1.3999996
4,27,9,2,2,14,2,5,0.3888888
4,27,6,0,3,12,5,2,2
2,22,2.5,0,3,14,3,2,4.8999996
3,27,9,2,3,17,4,6,1.3611107
4,27,6,2,1,14,3,4,2.041666
5,22,2.5,1,1,12,2,2,1.3999996
4,27,16.5,4,3,12,2,6,0.2121212
2,27,6,1,2,14,4,3,3.2666645
2,32,6,1,1,17,4,4,7.4666672
5,27,6,2,2,16,4,3,0.5833333
4,42,23,3,3,17,4,4,0.5217391
4,32,9,2,1,16,4,6,0.1111111
3,42,23,4,3,14,4,3,0.5217391
5,27,6,2,1,12,5,2,2
2,42,23,4,4,20,4,5,0.1521739
3,32,6,0,2,20,4,5,4.666666
5,27,2.5,0,2,14,3,2,1.3999996
2,42,16.5,3,3,12,3,5,1.1878777
4,37,23,3,2,12,5,4,1.826086
3,27,2.5,0,2,17,4,4,1.3999996
3,32,13,3,3,20,4,6,3.2307692
3,27,2.5,0,2,14,3,4,4.7999992
3,42,16.5,2,1,16,3,5,1.1878777
4,22,2.5,0,2,14,5,5,0.4
5,27,6,0,3,14,3,5,0.5833333
3,22,2.5,0,1,12,2,4,7.8399963
4,27,6,0,3,14,2,4,11.1999989
3,27,9,2,2,16,3,4,1.3611107
2,27,9,1,2,14,2,2,4.9777775
3,22,2.5,0,3,12,3,3,4.7999992
4,32,16.5,4,4,14,3,5,2.7151508
5,32,2.5,2,2,14,3,4,0.4
4,27,2.5,0,2,14,3,5,0.4
5,32,9,3,3,16,4,4,0.1111111
3,32,13,2,2,12,3,5,0.2692307
3,32,16.5,3,3,12,3,2,0.7272727
5,42,23,2,2,14,5,5,0.5217391
3,27,16.5,4,3,14,4,2,0.7424242
3,32,16.5,4,2,20,4,4,0.7272727
4,22,2.5,2,2,14,5,2,4.7999992
5,27,6,0,1,12,3,4,7.4666672
4,37,16.5,3,4,16,5,5,0.2121212
3,22,2.5,0,2,12,3,5,1.3999996
4,32,13,2,2,14,3,5,1.5076914
5,42,23,5.5,3,17,4,4,0.5217391
2,27,6,2,3,12,2,2,1.333333
5,22,2.5,1,2,16,3,6,1.3999996
