identifier,constant,sex,age,nmarried,nchildren,religious,education,occupation,rate_marriage,naffairs
4,1.0,1,37.0,10.0,0,3,18.0,7,4,0.0
5,1.0,0,27.0,4.0,0,4,14.0,6,4,0.0
11,1.0,0,32.0,15.0,1,1,12.0,1,4,0.0
16,1.0,1,57.0,15.0,1,5,18.0,6,5,0.0
23,1.0,1,22.0,0.75,0,2,17.0,6,3,0.0
29,1.0,0,32.0,1.5,0,2,17.0,5,5,0.0
44,1.0,0,22.0,0.75,0,2,12.0,1,3,0.0
45,1.0,1,57.0,15.0,1,2,14.0,4,4,0.0
47,1.0,0,32.0,15.0,1,4,16.0,1,2,0.0
49,1.0,1,22.0,1.5,0,4,14.0,4,5,0.0
50,1.0,1,37.0,15.0,1,2,20.0,7,2,0.0
55,1.0,1,27.0,4.0,1,4,18.0,6,4,0.0
64,1.0,1,47.0,15.0,1,5,17.0,6,4,0.0
80,1.0,0,22.0,1.5,0,2,17.0,5,4,0.0
86,1.0,0,27.0,4.0,0,4,14.0,5,4,0.0
93,1.0,0,37.0,15.0,1,1,17.0,5,5,0.0
108,1.0,0,37.0,15.0,1,2,18.0,4,3,0.0
114,1.0,0,22.0,0.75,0,3,16.0,5,4,0.0
115,1.0,0,22.0,1.5,0,2,16.0,5,5,0.0
116,1.0,0,27.0,10.0,1,2,14.0,1,5,0.0
123,1.0,0,22.0,1.5,0,2,16.0,5,5,0.0
127,1.0,0,22.0,1.5,0,2,16.0,5,5,0.0
129,1.0,0,27.0,10.0,1,4,16.0,5,4,0.0
134,1.0,0,32.0,10.0,1,3,14.0,1,5,0.0
137,1.0,1,37.0,4.0,1,2,20.0,6,4,0.0
139,1.0,0,22.0,1.5,0,2,18.0,5,5,0.0
147,1.0,0,27.0,7.0,0,4,16.0,1,5,0.0
151,1.0,1,42.0,15.0,1,5,20.0,6,4,0.0
153,1.0,1,27.0,4.0,1,3,16.0,5,5,0.0
155,1.0,0,27.0,4.0,1,3,17.0,5,4,0.0
162,1.0,1,42.0,15.0,1,4,20.0,6,3,0.0
163,1.0,0,22.0,1.5,0,3,16.0,5,5,0.0
165,1.0,1,27.0,0.417,0,4,17.0,6,4,0.0
168,1.0,0,42.0,15.0,1,5,14.0,5,4,0.0
170,1.0,1,32.0,4.0,1,1,18.0,6,4,0.0
172,1.0,0,22.0,1.5,0,4,16.0,5,3,0.0
184,1.0,0,42.0,15.0,1,3,12.0,1,4,0.0
187,1.0,0,22.0,4.0,0,4,17.0,5,5,0.0
192,1.0,1,22.0,1.5,1,1,14.0,3,5,0.0
194,1.0,0,22.0,0.75,0,3,16.0,1,5,0.0
210,1.0,1,32.0,10.0,1,5,20.0,6,5,0.0
217,1.0,1,52.0,15.0,1,5,18.0,6,3,0.0
220,1.0,0,22.0,0.417,0,5,14.0,1,4,0.0
224,1.0,0,27.0,4.0,1,2,18.0,6,1,0.0
227,1.0,0,32.0,7.0,1,5,17.0,5,3,0.0
228,1.0,1,22.0,4.0,0,3,16.0,5,5,0.0
239,1.0,0,27.0,7.0,1,4,18.0,6,5,0.0
241,1.0,0,42.0,15.0,1,2,18.0,5,4,0.0
245,1.0,1,27.0,1.5,1,4,16.0,3,5,0.0
249,1.0,1,42.0,15.0,1,2,20.0,6,4,0.0
262,1.0,0,22.0,0.75,0,5,14.0,3,5,0.0
265,1.0,1,32.0,7.0,1,2,20.0,6,4,0.0
267,1.0,1,27.0,4.0,1,5,20.0,6,5,0.0
269,1.0,1,27.0,10.0,1,4,20.0,6,4,0.0
271,1.0,1,22.0,4.0,0,1,18.0,5,5,0.0
277,1.0,0,37.0,15.0,1,4,14.0,3,1,0.0
290,1.0,1,22.0,1.5,1,5,16.0,4,4,0.0
292,1.0,0,37.0,15.0,1,4,17.0,1,5,0.0
293,1.0,0,27.0,0.75,0,4,17.0,5,4,0.0
295,1.0,1,32.0,10.0,1,4,20.0,6,4,0.0
299,1.0,0,47.0,15.0,1,5,14.0,7,2,0.0
320,1.0,1,37.0,10.0,1,3,20.0,6,4,0.0
321,1.0,0,22.0,0.75,0,2,16.0,5,5,0.0
324,1.0,1,27.0,4.0,0,2,18.0,4,5,0.0
334,1.0,1,32.0,7.0,0,4,20.0,6,4,0.0
351,1.0,1,42.0,15.0,1,2,17.0,3,5,0.0
355,1.0,1,37.0,10.0,1,4,20.0,6,4,0.0
361,1.0,0,47.0,15.0,1,3,17.0,6,5,0.0
362,1.0,0,22.0,1.5,0,5,16.0,5,5,0.0
366,1.0,0,27.0,1.5,0,2,16.0,6,4,0.0
370,1.0,0,27.0,4.0,0,3,17.0,5,5,0.0
374,1.0,0,32.0,10.0,1,5,14.0,4,5,0.0
378,1.0,0,22.0,0.125,0,2,12.0,5,5,0.0
381,1.0,1,47.0,15.0,1,4,14.0,4,3,0.0
382,1.0,1,32.0,15.0,1,1,14.0,5,5,0.0
383,1.0,1,27.0,7.0,1,4,16.0,5,5,0.0
384,1.0,0,22.0,1.5,1,3,16.0,5,5,0.0
400,1.0,1,27.0,4.0,1,3,17.0,6,5,0.0
403,1.0,0,22.0,1.5,0,3,16.0,5,5,0.0
409,1.0,1,57.0,15.0,1,2,14.0,7,2,0.0
412,1.0,1,17.5,1.5,1,3,18.0,6,5,0.0
