;;;   
;;;   The lexicon was taken from Brill's rule based tagger v1.14,
;;;   trained on Brown corpus and Penn Treebank.
;;;   
;;;   Eric Brill (1992). A simple rule-based part of speech tagger.
;;;   In Proceedings of the workshop on Speech and Natural Language (pp. 112-116).
;;;   Association for Computational Linguistics.
;;;   
;;;   Copyright 1993 by the Massachusetts Institute of Technology and the
;;;   University of Pennsylvania. All rights reserved. MIT license.
;;;   
;;;   Additional words were added from the Twitter Part-of-Speech Annotated Data,
;;;   available under the Creative Commons Attribution 3.0 Unported license ("CC-BY").
;;;   Carnegie Mellon University. http://www.ark.cs.cmu.edu/TweetNLP
;;;   
;;;   Kevin Gimpel, Nathan Schneider, Brendan O'Connor, et al. (2011).
;;;   Part-of-Speech Tagging for Twitter: Annotation, Features, and Experiments.
;;;   In Proceedings of the Annual Meeting of the ACL, Portland, OR, June 2011.
;;;   
! .
!! .
!!! .
!!!! .
!!!!! .
!!!!!! .
!!!!!!! .
!!!!!!!! .
!. .
!? .
" "
# #
#1 CD
#2 CD
#GLEE NNP
#Glee NNP
#celtics NNPS
#fail NN
#fb NNP
#glee NNP
#howcome VB
#lakers NNPS
#shoutout NN
#teamceltics NNPS
#teamlakers NNPS
#win NN
$ $
$200 CD
$25 CD
% NN
%... :
%CHG NN
& CC
&0C. NN
' POS
'' ''
''$ $
''. NN
', ,
'. .
'/''... :
'/POS... :
'13 CD
'20's CD
'20s NNPS
'25 CD
'30s CD
'31 CD
'38 CD
'40's CD
'40s NNS
'48 CD
'49 CD
'50 CD
'50's CD
'50s NNS
'51 CD
'52 CD
'53 CD
'54 CD
'55 CD
'58 CD
'60 CD
'60s NNS
'61 CD
'68 CD
'70s NNS
'71 CD
'76 CD
'78 CD
'79 CD
'80's CD
'80s NNS
'80s-style JJ
'81 CD
'82 CD
'85 CD
'86 CD
'87 CD
'89 CD
'89s NNS
'90s NNS
'92 CD
': :
'A NN
'All DT
'Are VBP
'As RB
'BS NNP
'Big JJ
'Cause IN
'Channel NN
'Chief NNP
'Christian JJ
'Come VB
'D NNP
'Damn VB
'Dividend NN
'Do NNP
'Does VBZ
'Don't VB
'Em NNP
'Europeans NNPS
'Forget VB
'God NNP
'Goodison NNP
'Guesstimates NNS
'Hagura NNP
'Happy NNP
'Have VB
'He PRP
'Hear VB
'Here's NNS
'Hey UH
'Hot JJ
'How WRB
'I PRP
'I'd VB
'I'm VBP
'I've NN
'Il NNP
'Is VBP
'It's PRP
'Just RB
'K NNP
'Kick VB
'Lady NN
'Let's PRP
'Look VB
'MTV NNP
'Ma NNP
'My PRP
'N NNP
'Nightline NNP
'No UH
'OK UH
'Oh UH
'Okay UH
'Onward RB
'Ounce NNP
'P JJ
'People NNS
'Poltergeist NN
'Preventive JJ
'R NNP
'RED JJ
'Recovering VBG
'S VBZ
'Son NN
'Sorry JJ
'Struggling VBG
'Sweets NNP
'T- PRP
'Tahiti NNP
'That's VBZ
'The NNP
'This VBZ
'Three's NNP
'Tide NNP
'To NNP
'Today NNP
'Unsolved NNP
'Wadoo UH
'War NNP
'Watch VB
'We PRP
'We've PRP
'Well RB
'What WP
'Which NN
'Who NN
'Why WRB
'Will MD
'X NN
'Yeah UH
'Yes UH
'You NN
'Yuk UH
'`` ``
'bout IN
'ceptin VBG
'd MD
'd. NN
'ello UH
'em PRP
'emselves PRP
'fess VB
'fore IN
'im PRP
'll MD
'low VB
'm VBP
'mon UH
'most IN
'n IN
'nother DT
'nough JJ
'nuff RB
'pache NN
're VBP
're... :
'round RB
's POS
's. POS
'scuse VB
'stead IN
't- PRP
'thirties NNS
'till IN
've VBP
'way RB
'we'd MD
( (
(!) SYM
(3/26 1991)
(9/9 1991)
(: SYM
(@ SYM
) )
). SYM
): SYM
* SYM
+ SYM
, ,
,'cept IN
,'t- PRP
,. SYM
,.. NN
,... :
- :
-$ $
-- :
--$ $
--'cause JJ
--271,124 CD
--33 CD
--4.8 CD
--Boca NNP
--Bordeaux NNP
--China NNP
--Dell NNP
--Dorothy NNP
--George NNP
--Hitachi NNP
--Mrs NNP
--Of IN
--Thailand NNP
--Tokyo NNP
--William NNP
--a DT
--about IN
--agreed NN
--all DT
--and CC
--are VBP
--at IN
--awarding VBG
--changed VBD
--combined VBN
--complicated IN
--consented VBD
--considered VBN
--despite IN
--didn't VBD|RB
--dividends NNS
--especially RB
--even JJ
--fawning VBG
--fell VBD
--for IN
--forcing JJ
--grows VBZ
--had VBD
--has VBP
--here RB
--how WRB
--if IN
--in NN
--including IN
--it PRP
--like IN
--meal NN
--mortgage-backed JJ
--of IN
--offer VBP
--one CD
--players NNS
--plus RB
--presumably RB
--products NNS
--since IN
--some DT
--subjects NNS
--such JJ
--teetering VBG
--telegraph VBP
--the JJ
--they PRP
--those DT
--to IN
--twice RB
--unlike JJ
--vs. IN
--was VBD
--were VBD
--what WP
--when WRB
--which WDT
--who WP
--will MD
--wines NN
--with IN
--would MD
--you JJ
-.10 CD
-.5 CD
-.50 CD
-0.06 CD
-1 CD
-16-degrees CD|NNS
-20-degrees CD|NNS
-20-degrees-C CD|NN|NP
-300 CD
-5 CD
-500 CD
-57.6 CD
-78-degrees CD|NN
-LCB- (
-LRB- (
-RCB- )
-RRB- )
