instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,rentals
1,1/1/2011,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331
2,1/2/2011,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131
3,1/3/2011,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120
4,1/4/2011,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108
5,1/5/2011,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82
6,1/6/2011,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88
7,1/7/2011,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148
8,1/8/2011,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68
9,1/9/2011,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54
10,1/10/2011,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41
11,1/11/2011,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43
12,1/12/2011,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25
13,1/13/2011,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38
14,1/14/2011,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54
15,1/15/2011,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222
16,1/16/2011,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251
17,1/17/2011,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117
18,1/18/2011,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9
19,1/19/2011,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78
20,1/20/2011,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83
21,1/21/2011,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75
22,1/22/2011,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93
23,1/23/2011,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150
24,1/24/2011,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86
25,1/25/2011,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186
26,1/26/2011,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34
27,1/27/2011,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15
28,1/28/2011,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38
29,1/29/2011,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123
30,1/30/2011,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140
31,1/31/2011,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42
32,2/1/2011,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47
33,2/2/2011,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72
34,2/3/2011,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61
35,2/4/2011,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88
36,2/5/2011,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100
37,2/6/2011,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354
38,2/7/2011,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120
39,2/8/2011,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64
40,2/9/2011,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53
41,2/10/2011,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47
42,2/11/2011,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149
43,2/12/2011,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288
44,2/13/2011,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397
45,2/14/2011,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208
46,2/15/2011,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140
47,2/16/2011,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218
48,2/17/2011,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259
49,2/18/2011,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579
50,2/19/2011,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532
51,2/20/2011,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639
52,2/21/2011,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195
53,2/22/2011,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74
54,2/23/2011,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139
55,2/24/2011,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100
56,2/25/2011,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120
57,2/26/2011,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424
58,2/27/2011,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694
59,2/28/2011,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81
60,3/1/2011,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137
61,3/2/2011,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231
62,3/3/2011,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123
63,3/4/2011,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214
64,3/5/2011,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640
65,3/6/2011,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114
66,3/7/2011,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244
67,3/8/2011,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316
68,3/9/2011,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191
69,3/10/2011,1,0,3,0,4,1,3,0.389091,0.385668,0,0.261877,46
70,3/11/2011,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247
71,3/12/2011,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724
72,3/13/2011,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982
73,3/14/2011,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359
