"AVGEXP","AGE","INCOME","INCOMESQ","OWNRENT"
124.98,38,4.52,20.4304,1
9.85,33,2.42,5.8564,0
15,34,4.5,20.25,1
137.87,31,2.54,6.4516,0
546.5,32,9.79,95.8441,1
92,23,2.5,6.25,0
40.83,28,3.96,15.6816,0
150.79,29,2.37,5.6169,1
777.82,37,3.8,14.44,1
52.58,28,3.2,10.24,0
256.66,31,3.95,15.6025,1
78.87,29,2.45,6.0025,1
42.62,35,1.91,3.6481,1
335.43,41,3.2,10.24,1
248.72,40,4,16,1
548.03,40,10,100,1
43.34,35,2.35,5.5225,1
218.52,34,2,4,1
170.64,36,4,16,0
37.58,43,5.14,26.4196,1
502.2,30,4.51,20.3401,0
73.18,22,1.5,2.25,0
1532.77,40,5.5,30.25,1
42.69,22,2.03,4.1209,0
417.83,29,3.2,10.24,0
552.72,21,2.47,6.1009,1
222.54,24,3,9,0
541.3,43,3.54,12.5316,1
568.77,37,5.7,32.49,1
344.47,27,3.5,12.25,0
405.35,28,4.6,21.16,1
310.94,26,3,9,1
53.65,23,2.59,6.7081,0
63.92,30,1.51,2.2801,0
165.85,30,1.85,3.4225,0
9.58,38,2.6,6.76,0
319.49,36,2,4,0
83.08,26,2.35,5.5225,0
644.83,28,7,49,1
93.2,24,2,4,0
105.04,21,1.7,2.89,0
34.13,24,2.8,7.84,0
41.19,26,2.4,5.76,0
169.89,33,3,9,0
1898.03,34,4.8,23.04,0
810.39,33,3.18,10.1124,0
32.78,21,1.5,2.25,0
95.8,25,3,9,0
27.78,27,2.28,5.1984,0
215.07,26,2.8,7.84,0
79.51,22,2.7,7.29,0
306.03,41,6,36,0
104.54,42,3.9,15.21,0
642.47,25,3.07,9.4249,0
308.05,31,2.46,6.0516,1
186.35,27,2,4,0
56.15,33,3.25,10.5625,0
129.37,37,2.72,7.3984,0
93.11,27,2.2,4.84,0
292.66,24,3.75,14.0625,0
98.46,25,2.88,8.2944,0
258.55,36,3.05,9.3025,0
101.68,33,2.55,6.5025,0
65.25,55,2.64,6.9696,1
108.61,20,1.65,2.7225,0
49.56,29,2.4,5.76,0
235.57,41,7.24,52.4176,1
68.38,43,2.4,5.76,0
474.15,33,6,36,1
234.05,25,3.6,12.96,0
451.2,26,5,25,1
251.52,46,5.5,30.25,1
