"COMMITTEE","BILLS104","SIZE","SUBS","STAFF","PRESTIGE","BILLS103"
"Appropriations",6,58,13,109,1,9
"Budget",23,42,0,39,1,101
"Rules",44,13,2,25,1,54
"Ways_and_Means",355,39,5,23,1,542
"Banking",125,51,5,61,0,101
"Economic_Educ_Oppor",131,43,5,69,0,158
"Commerce",271,49,4,79,0,196
"International_Relations",63,44,3,68,0,40
"Government_Reform",149,51,7,99,0,72
"Judiciary",253,35,5,56,0,168
"Agriculture",81,49,5,46,0,60
"National_Security",89,55,7,48,0,75
"Resources",142,44,5,58,0,98
"TransInfrastructure",155,61,6,74,0,69
"Science",27,50,4,58,0,25
"Small_Business",8,43,4,29,0,9
"Veterans_Affairs",28,33,3,36,0,41
"House_Oversight",68,12,0,24,0,233
"Stds_of_Conduct",1,10,0,9,0,0
"Intelligence",4,16,2,24,0,2
