species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,year
Adelie,Torgersen,39.1,18.7,181.0,3750.0,2007
Adelie,Torgersen,39.5,17.4,186.0,3800.0,2007
Adelie,Torgersen,40.3,18.0,195.0,3250.0,2007
Adelie,Torgersen,36.7,19.3,193.0,3450.0,2007
Adelie,Torgersen,39.3,20.6,190.0,3650.0,2007
Adelie,Torgersen,38.9,17.8,181.0,3625.0,2007
Adelie,Torgersen,39.2,19.6,195.0,4675.0,2007
Adelie,Torgersen,34.1,18.1,193.0,3475.0,2007
Adelie,Torgersen,42.0,20.2,190.0,4250.0,2007
Adelie,Torgersen,37.8,17.1,186.0,3300.0,2007
Adelie,Torgersen,37.8,17.3,180.0,3700.0,2007
Adelie,Torgersen,41.1,17.6,182.0,3200.0,2007
Adelie,Torgersen,38.6,21.2,191.0,3800.0,2007
Adelie,Torgersen,34.6,21.1,198.0,4400.0,2007
Adelie,Torgersen,36.6,17.8,185.0,3700.0,2007
Adelie,Torgersen,38.7,19.0,195.0,3450.0,2007
Adelie,Torgersen,42.5,20.7,197.0,4500.0,2007
Adelie,Torgersen,34.4,18.4,184.0,3325.0,2007
Adelie,Torgersen,46.0,21.5,194.0,4200.0,2007
Adelie,Biscoe,37.8,18.3,174.0,3400.0,2007
Adelie,Biscoe,37.7,18.7,180.0,3600.0,2007
Adelie,Biscoe,35.9,19.2,189.0,3800.0,2007
Adelie,Biscoe,38.2,18.1,185.0,3950.0,2007
Adelie,Biscoe,38.8,17.2,180.0,3800.0,2007
Adelie,Biscoe,35.3,18.9,187.0,3800.0,2007
Adelie,Biscoe,40.6,18.6,183.0,3550.0,2007
Adelie,Biscoe,40.5,17.9,187.0,3200.0,2007
Adelie,Biscoe,37.9,18.6,172.0,3150.0,2007
Adelie,Biscoe,40.5,18.9,180.0,3950.0,2007
Adelie,Dream,39.5,16.7,178.0,3250.0,2007
Adelie,Dream,37.2,18.1,178.0,3900.0,2007
Adelie,Dream,39.5,17.8,188.0,3300.0,2007
Adelie,Dream,40.9,18.9,184.0,3900.0,2007
Adelie,Dream,36.4,17.0,195.0,3325.0,2007
Adelie,Dream,39.2,21.1,196.0,4150.0,2007
Adelie,Dream,38.8,20.0,190.0,3950.0,2007
Adelie,Dream,42.2,18.5,180.0,3550.0,2007
Adelie,Dream,37.6,19.3,181.0,3300.0,2007
Adelie,Dream,39.8,19.1,184.0,4650.0,2007
Adelie,Dream,36.5,18.0,182.0,3150.0,2007
Adelie,Dream,40.8,18.4,195.0,3900.0,2007
Adelie,Dream,36.0,18.5,186.0,3100.0,2007
Adelie,Dream,44.1,19.7,196.0,4400.0,2007
Adelie,Dream,37.0,16.9,185.0,3000.0,2007
Adelie,Dream,39.6,18.8,190.0,4600.0,2007
Adelie,Dream,41.1,19.0,182.0,3425.0,2007
Adelie,Dream,37.5,18.9,179.0,2975.0,2007
Adelie,Dream,36.0,17.9,190.0,3450.0,2007
Adelie,Dream,42.3,21.2,191.0,4150.0,2007
Adelie,Biscoe,39.6,17.7,186.0,3500.0,2008
Adelie,Biscoe,40.1,18.9,188.0,4300.0,2008
Adelie,Biscoe,35.0,17.9,190.0,3450.0,2008
Adelie,Biscoe,42.0,19.5,200.0,4050.0,2008
Adelie,Biscoe,34.5,18.1,187.0,2900.0,2008
Adelie,Biscoe,41.4,18.6,191.0,3700.0,2008
