state,violent,murder,hs_grad,poverty,single,white,urban
Alabama,459.9,7.1,82.1,17.5,29.0,70,48.65
Alaska,632.6,3.2,91.4,9.0,25.5,68.3,44.46
Arizona,423.2,5.5,84.2,16.5,25.7,80,80.07
Arkansas,530.3,6.3,82.4,18.8,26.3,78.4,39.54
California,473.4,5.4,80.6,14.2,27.8,62.7,89.73
Colorado,340.9,3.2,89.3,12.9,21.4,84.6,76.86
Connecticut,300.5,3.0,88.6,9.4,25.0,79.1,84.83
Delaware,645.1,4.6,87.4,10.8,27.6,71.9,68.71
District of Columbia,1348.9,24.2,87.1,18.4,48.0,38.7,100
Florida,612.6,5.5,85.3,14.9,26.6,76.9,87.44
Georgia,432.6,6.0,83.9,16.5,29.3,61.9,65.38
Hawaii,274.1,1.8,90.4,10.4,26.3,26.9,71.46
Idaho,238.5,1.5,88.4,14.3,19.0,92.3,50.51
Illinois,618.2,8.4,86.4,13.3,26.0,72.5,79.97
Indiana,366.4,5.3,86.6,14.4,24.5,85.7,59.17
Iowa,294.5,1.3,90.5,11.8,20.3,92.3,41.66
Kansas ,412.0,4.7,89.7,13.4,22.8,86.3,50.17
Kentucky ,265.5,4.3,81.7,18.6,25.4,88.8,40.99
Louisiana,628.4,12.3,82.2,17.3,31.4,63.7,61.33
Maine,119.9,2.0,90.2,12.3,22.0,94.9,26.21
Maryland,590.0,7.7,88.2,9.1,27.3,60.2,83.53
Massachusetts,465.6,2.7,89.0,10.3,25.0,82.4,90.3
Michigan,504.4,6.3,87.9,16.2,25.6,79.9,66.37
Minnesota,214.2,1.5,91.5,11.0,20.2,87.4,58
Mississippi,306.7,6.9,80.4,21.9,32.8,59.6,27.62
Missouri,500.3,6.6,86.8,14.6,25.3,83.9,56.61
Montana ,283.9,3.2,90.8,15.1,20.3,89.4,26.49
Nebraska,305.5,2.5,89.8,12.3,20.9,88.1,53.78
Nevada,704.6,5.9,83.9,12.4,28.5,76.2,86.51
New Hampshire,169.5,0.9,91.3,8.5,19.5,94.5,47.34
New Jersey,311.3,3.7,87.4,9.4,25.8,70.7,92.24
New Mexico,652.8,10.0,82.8,18.0,29.1,72.5,53.75
New York,385.5,4.0,84.7,14.2,30.2,67.4,82.66
North Carolina,414.0,5.4,84.3,16.3,26.3,70.5,54.88
North Dakota,223.6,2.0,90.1,11.7,18.2,90.2,40
Ohio,358.1,5.0,87.6,15.2,26.3,84,65.31
Oklahoma,510.4,6.5,85.6,16.2,25.9,75.4,45.79
Oregon,261.2,2.3,89.1,14.3,22.7,85.6,62.47
Pennsylvania,388.9,5.4,87.9,12.5,24.5,83.5,70.68
Rhode Island,254.3,3.0,84.7,11.5,27.3,82.6,90.46
South Carolina,675.1,6.7,83.6,17.1,28.4,67.6,55.78
South Dakota,201.0,3.6,89.9,14.2,20.8,86.3,29.92
Tennessee,666.0,7.4,83.1,17.1,26.3,79.1,54.38
Texas,491.4,5.4,79.9,17.2,27.6,73.8,75.35
Utah,216.2,1.4,90.4,11.5,17.9,89.3,81.17
Vermont,135.1,1.3,91.0,11.4,21.3,95.8,17.38
Virginia,230.0,4.7,86.6,10.5,24.0,70.4,69.79
Washington,338.3,2.8,89.7,12.3,22.2,80.2,74.97
West Virginia,331.2,4.9,82.8,17.7,23.3,94.3,33.2
Wisconsin,259.7,2.6,89.8,12.4,22.2,88.4,55.8
Wyoming,219.3,2.0,91.8,9.8,18.9,91.3,24.51
